election,election_date,locality,precinct,Early Voting,Provisional,Election Day,Mailed Absentee,Post-Election,TotalVoteTurnout,ActiveRegisteredVoters,InactiveRegisteredVoters,TotalRegisteredVoters,% (totalTurnout_Active)
2023 November General and Special Elections,11/7/2023 0:00,SALEM CITY,007 - SOUTH SALEM NO 2,151,2,360,60,1,574,1544,147,1691,37%
2023 November General and Special Elections,11/7/2023 0:00,SALEM CITY,008 - EAST SALEM,46,,149,23,,218,759,86,845,29%
2023 November General and Special Elections,11/7/2023 0:00,SALEM CITY,009 - SOUTH SIDE HILLS,327,7,542,111,3,990,2234,142,2376,44%
2023 November General and Special Elections,11/7/2023 0:00,SALEM CITY,010 - HIDDEN VALLEY,353,8,624,157,4,1146,2437,273,2710,47%
2023 November General and Special Elections,11/7/2023 0:00,SALEM CITY,SALEM CITY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,SCOTT COUNTY,101 - WEBER CITY,76,1,263,23,,363,1116,65,1181,33%
2023 November General and Special Elections,11/7/2023 0:00,SCOTT COUNTY,102 - YUMA,107,,399,13,,519,1367,35,1402,38%
2023 November General and Special Elections,11/7/2023 0:00,SCOTT COUNTY,202 - WEBER CITY EAST,119,,221,17,,357,995,36,1031,36%
2023 November General and Special Elections,11/7/2023 0:00,SCOTT COUNTY,203 - HILTONS,101,,409,21,,531,1300,47,1347,41%
2023 November General and Special Elections,11/7/2023 0:00,SCOTT COUNTY,204 - CLARK'S,13,1,93,2,1,110,342,14,356,32%
2023 November General and Special Elections,11/7/2023 0:00,SCOTT COUNTY,301 - NICKELSVILLE,52,1,328,10,,391,983,34,1017,40%
2023 November General and Special Elections,11/7/2023 0:00,SCOTT COUNTY,302 - SNOWFLAKE,51,1,255,14,,321,702,22,724,46%
2023 November General and Special Elections,11/7/2023 0:00,SCOTT COUNTY,303 - TWIN SPRINGS,93,1,194,12,,300,778,9,787,39%
2023 November General and Special Elections,11/7/2023 0:00,SCOTT COUNTY,304 - COPPER CREEK,15,,78,4,,97,260,7,267,37%
2023 November General and Special Elections,11/7/2023 0:00,SCOTT COUNTY,401 - GATE CITY,349,,597,50,,996,2841,86,2927,35%
2023 November General and Special Elections,11/7/2023 0:00,SCOTT COUNTY,501 - DUNGANNON,33,,151,12,,196,616,22,638,32%
2023 November General and Special Elections,11/7/2023 0:00,SCOTT COUNTY,502 - FORT BLACKMORE,40,1,226,10,,277,625,20,645,44%
2023 November General and Special Elections,11/7/2023 0:00,SCOTT COUNTY,503 - MANVILLE,27,,91,9,,127,420,12,432,30%
2023 November General and Special Elections,11/7/2023 0:00,SCOTT COUNTY,504 - RYE COVE,76,,248,13,,337,858,33,891,39%
2023 November General and Special Elections,11/7/2023 0:00,SCOTT COUNTY,601 - CLINCHPORT,41,,152,5,,198,635,18,653,31%
2023 November General and Special Elections,11/7/2023 0:00,SCOTT COUNTY,602 - DUFFIELD-PATTONSVILLE,46,1,383,16,1,447,1296,52,1348,34%
2023 November General and Special Elections,11/7/2023 0:00,SCOTT COUNTY,603 - FAIRVIEW,15,1,102,4,1,123,353,6,359,35%
2023 November General and Special Elections,11/7/2023 0:00,SCOTT COUNTY,SCOTT COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,SHENANDOAH COUNTY,101 - ORKNEY SPRINGS,161,1,516,53,1,732,1585,80,1665,46%
2023 November General and Special Elections,11/7/2023 0:00,SHENANDOAH COUNTY,103 - NEW MARKET,225,4,1143,74,8,1454,3510,185,3695,41%
2023 November General and Special Elections,11/7/2023 0:00,SHENANDOAH COUNTY,201 - CONICVILLE,351,4,1046,61,1,1463,2834,84,2918,52%
2023 November General and Special Elections,11/7/2023 0:00,SHENANDOAH COUNTY,202 - MT JACKSON,165,1,732,39,4,941,2219,86,2305,42%
2023 November General and Special Elections,11/7/2023 0:00,SHENANDOAH COUNTY,302 - EDINBURG,266,3,669,32,2,972,1923,82,2005,51%
2023 November General and Special Elections,11/7/2023 0:00,SHENANDOAH COUNTY,303 - ST LUKE,365,2,868,46,2,1283,2514,88,2602,51%
2023 November General and Special Elections,11/7/2023 0:00,SHENANDOAH COUNTY,304 - FORT VALLEY,117,2,480,25,3,627,1132,55,1187,55%
2023 November General and Special Elections,11/7/2023 0:00,SHENANDOAH COUNTY,401 - WOODSTOCK NORTH,511,2,646,71,7,1237,2536,155,2691,49%
2023 November General and Special Elections,11/7/2023 0:00,SHENANDOAH COUNTY,402 - WOODSTOCK SOUTH,326,2,415,62,5,810,2124,141,2265,38%
2023 November General and Special Elections,11/7/2023 0:00,SHENANDOAH COUNTY,501 - CEDAR CREEK,9,,100,1,,110,209,8,217,53%
2023 November General and Special Elections,11/7/2023 0:00,SHENANDOAH COUNTY,503 - TOMS BROOK,430,3,904,75,5,1417,3093,143,3236,46%
2023 November General and Special Elections,11/7/2023 0:00,SHENANDOAH COUNTY,504 - LEBANON CHURCH,152,2,816,43,2,1015,2158,90,2248,47%
2023 November General and Special Elections,11/7/2023 0:00,SHENANDOAH COUNTY,601 - STRASBURG WEST,148,7,590,58,2,805,2495,184,2679,32%
2023 November General and Special Elections,11/7/2023 0:00,SHENANDOAH COUNTY,602 - STRASBURG EAST,186,9,632,86,3,916,2527,208,2735,36%
2023 November General and Special Elections,11/7/2023 0:00,SHENANDOAH COUNTY,SHENANDOAH COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,SMYTH COUNTY,101 - SALTVILLE,34,4,799,52,1,890,2632,104,2736,34%
2023 November General and Special Elections,11/7/2023 0:00,SMYTH COUNTY,201 - SEVEN MILE FORD,93,3,652,48,2,798,1944,74,2018,41%
2023 November General and Special Elections,11/7/2023 0:00,SMYTH COUNTY,202 - RICH VALLEY,22,5,267,9,1,304,750,20,770,41%
2023 November General and Special Elections,11/7/2023 0:00,SMYTH COUNTY,301 - CHILHOWIE,82,4,1017,45,1,1149,2818,118,2936,41%
2023 November General and Special Elections,11/7/2023 0:00,SMYTH COUNTY,401 - EAST PARK,162,7,914,69,1,1153,2678,165,2843,43%
2023 November General and Special Elections,11/7/2023 0:00,SMYTH COUNTY,501 - ATKINS,49,1,611,37,1,699,1731,77,1808,40%
2023 November General and Special Elections,11/7/2023 0:00,SMYTH COUNTY,502 - WASSONA,87,4,463,62,,616,1155,36,1191,53%
2023 November General and Special Elections,11/7/2023 0:00,SMYTH COUNTY,601 - ROYAL OAK EAST,95,3,564,46,,708,1828,114,1942,39%
2023 November General and Special Elections,11/7/2023 0:00,SMYTH COUNTY,602 - ROYAL OAK WEST,40,1,384,14,1,440,876,36,912,50%
2023 November General and Special Elections,11/7/2023 0:00,SMYTH COUNTY,701 - ADWOLFE,50,5,739,30,,824,1769,59,1828,47%
2023 November General and Special Elections,11/7/2023 0:00,SMYTH COUNTY,702 - SUGAR GROVE,21,,437,31,,489,1052,32,1084,46%
2023 November General and Special Elections,11/7/2023 0:00,SMYTH COUNTY,703 - KONNAROCK,4,,66,5,,75,159,2,161,47%
2023 November General and Special Elections,11/7/2023 0:00,SMYTH COUNTY,SMYTH COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,SOUTHAMPTON COUNTY,101 - BERLIN,117,,495,32,1,645,1018,45,1063,63%
2023 November General and Special Elections,11/7/2023 0:00,SOUTHAMPTON COUNTY,102 - IVOR,78,2,589,30,1,700,1229,64,1293,57%
2023 November General and Special Elections,11/7/2023 0:00,SOUTHAMPTON COUNTY,201 - BOYKINS-BRANCHVILLE,141,2,497,48,4,692,1452,57,1509,48%
2023 November General and Special Elections,11/7/2023 0:00,SOUTHAMPTON COUNTY,301 - CAPRON-DREWRYVILLE,229,2,532,54,1,818,1457,57,1514,56%
2023 November General and Special Elections,11/7/2023 0:00,SOUTHAMPTON COUNTY,302 - SEBRELL,151,1,375,37,2,566,1007,49,1056,56%
2023 November General and Special Elections,11/7/2023 0:00,SOUTHAMPTON COUNTY,501 - DARDEN MILL,181,1,352,41,,575,997,42,1039,58%
2023 November General and Special Elections,11/7/2023 0:00,SOUTHAMPTON COUNTY,502 - FAIRGROUNDS,278,3,398,42,2,723,1132,45,1177,64%
2023 November General and Special Elections,11/7/2023 0:00,SOUTHAMPTON COUNTY,601 - COURTLAND,274,5,467,63,2,811,1428,102,1530,57%
2023 November General and Special Elections,11/7/2023 0:00,SOUTHAMPTON COUNTY,602 - SEDLEY,25,,148,9,,182,267,13,280,68%
2023 November General and Special Elections,11/7/2023 0:00,SOUTHAMPTON COUNTY,701 - BLACKWATER RIVER,135,4,511,52,4,706,1453,106,1559,49%
2023 November General and Special Elections,11/7/2023 0:00,SOUTHAMPTON COUNTY,702 - NEWSOMS,161,1,512,38,1,713,1154,66,1220,62%
2023 November General and Special Elections,11/7/2023 0:00,SOUTHAMPTON COUNTY,SOUTHAMPTON COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,101 - PARTLOW RURITAN,216,6,1018,83,13,1336,3051,126,3177,44%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,102 - BERKELEY,266,7,976,74,5,1328,3389,172,3561,39%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,103 - JOHN J WRIGHT,470,11,1430,168,6,2085,5103,228,5331,41%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,104 - MASSAPONAX HIGH,249,14,958,87,3,1311,3617,360,3977,36%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,201 - WILDERNESS ELEMENTARY,271,7,853,106,4,1241,2514,153,2667,49%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,202 - FIRE RESCUE 7,467,4,1458,173,19,2121,4441,242,4683,48%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,203 - NI RIVER MIDDLE,528,17,1267,202,15,2029,3763,212,3975,54%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,204 - CHANCELLOR ELEMENTARY,401,2,1211,170,4,1788,4019,306,4325,44%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,301 - SALEM ELEMENTARY,280,11,787,184,2,1264,2653,218,2871,48%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,302 - SALEM LIBRARY,517,17,1130,191,8,1863,4040,261,4301,46%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,303 - RIVERBEND HIGH,761,10,1328,373,14,2486,4306,218,4524,58%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,304 - KNIGHTS OF PYTHIAS,512,3,741,185,4,1445,3016,209,3225,48%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,401 - COSNER PARK,202,10,890,145,5,1252,3063,166,3229,41%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,402 - GERMANNA CAMPUS,492,16,925,138,6,1577,3895,318,4213,40%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,403 - LEE HILL ELEMENTARY,372,6,1142,167,11,1698,3953,292,4245,43%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,404 - FIRE RESCUE 11,185,9,649,82,4,929,2219,157,2376,42%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,501 - BELMONT RURITAN,151,4,866,74,9,1104,2619,139,2758,42%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,502 - FIRE RESCUE 2,197,7,808,84,4,1100,2429,120,2549,45%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,503 - SPOTSYLVANIA HIGH,211,7,908,70,1,1197,2562,115,2677,47%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,504 - PUBLIC SAFETY,480,6,1043,143,10,1682,3588,222,3810,47%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,505 - BROCK ROAD ELEMENTARY,498,13,1497,269,22,2299,4429,207,4636,52%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,601 - BATTLEFIELD ELEMENTARY,398,8,926,154,7,1493,3414,218,3632,44%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,602 - SMITH STATION ELEMENTARY,388,11,1237,213,13,1862,4073,298,4371,46%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,603 - CHANCELLOR HIGH,229,5,750,89,1,1074,2608,202,2810,41%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,604 - COURTHOUSE ROAD ELEMENTARY,382,14,739,120,3,1258,2823,219,3042,45%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,701 - SPOTSWOOD ELEMENTARY,258,13,840,101,9,1221,3098,228,3326,39%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,702 - EASTLAND CHURCH,356,11,746,132,2,1247,3511,330,3841,36%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,703 - LEES PARKE,264,15,964,120,3,1366,3575,259,3834,38%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,704 - COURTLAND ELEMENTARY,899,15,1100,231,3,2248,3955,188,4143,57%
2023 November General and Special Elections,11/7/2023 0:00,SPOTSYLVANIA COUNTY,SPOTSYLVANIA COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,101 - HARTWOOD,426,,1750,215,29,2420,4504,278,4782,54%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,102 - SIMPSON,388,,1010,171,14,1583,2994,195,3189,53%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,103 - COLLEGE,193,,1036,111,11,1351,2823,183,3006,48%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,104 - WESTLAKE,165,,785,93,4,1047,1989,96,2085,53%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,105 - ROCKY RUN,166,,605,74,3,848,1751,221,1972,48%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,106 - FORGE,157,,485,68,12,722,1632,142,1774,44%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,201 - ROCK HILL,407,,1456,178,17,2058,4170,400,4570,49%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,202 - ROSEVILLE,401,,1146,202,9,1758,3276,271,3547,54%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,203 - RUBY,198,,1041,70,10,1319,2781,233,3014,47%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,204 - STEFANIGA,430,,1209,120,11,1770,3338,260,3598,53%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,205 - MOUNT ARARAT,132,,493,54,3,682,1489,118,1607,46%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,301 - STAFFORDBORO,65,,418,47,2,532,1946,258,2204,27%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,302 - WIDEWATER,173,,726,69,8,976,2345,184,2529,42%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,303 - BARRETT HEIGHTS,104,,454,39,6,603,1825,173,1998,33%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,304 - AQUIA EPISCOPAL,88,,287,38,4,417,994,106,1100,42%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,305 - GRIFFIS,87,,241,30,2,360,1141,201,1342,32%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,306 - MIDWAY,126,,496,87,7,716,2560,250,2810,28%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,401 - COURTHOUSE,307,,826,105,12,1250,3526,446,3972,35%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,402 - BROOKE,314,,715,79,9,1117,2011,164,2175,56%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,403 - HARBOUR,166,,815,87,6,1074,2140,213,2353,50%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,404 - GOVERNMENT ISLAND,224,,1031,92,8,1355,2714,289,3003,50%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,405 - HOPE,527,,1250,200,11,1988,4193,389,4582,47%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,406 - AQUIA,45,,99,23,3,170,774,162,936,22%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,501 - GRAFTON,442,,1708,267,15,2432,4502,298,4800,54%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,502 - FALMOUTH,331,,1243,176,11,1761,3028,226,3254,58%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,503 - DREW,350,,1366,187,17,1920,4016,306,4322,48%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,504 - GAYLE,329,,946,305,12,1592,2959,236,3195,54%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,505 - ESKIMO HILL,97,,236,42,4,379,1001,90,1091,38%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,601 - FERRY FARM,258,,1220,157,18,1653,2819,206,3025,59%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,602 - CHATHAM,276,,1313,192,18,1799,3510,279,3789,51%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,603 - WHITE OAK,292,,1545,153,13,2003,3466,197,3663,58%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,604 - ENGLAND RUN,50,,385,72,8,515,1565,250,1815,33%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,605 - MELCHERS,739,,1113,440,21,2313,4160,259,4419,56%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,701 - PARK RIDGE,359,,1147,140,14,1660,3745,385,4130,44%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,702 - WHITSON,208,,742,101,8,1059,2879,341,3220,37%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,703 - HAMPTON,505,,1290,182,17,1994,3922,340,4262,51%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,704 - POOLE ,574,479,1430,227,18,2728,4767,369,5136,57%
2023 November General and Special Elections,11/7/2023 0:00,STAFFORD COUNTY,STAFFORD COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,STAUNTON CITY,101 - WARD NO 1,286,11,855,127,7,1286,3735,322,4057,34%
2023 November General and Special Elections,11/7/2023 0:00,STAUNTON CITY,201 - WARD NO 2,320,7,962,145,9,1443,4060,324,4384,36%
2023 November General and Special Elections,11/7/2023 0:00,STAUNTON CITY,301 - WARD NO 3,381,11,906,126,13,1437,3175,167,3342,45%
2023 November General and Special Elections,11/7/2023 0:00,STAUNTON CITY,401 - WARD NO 4,387,12,846,185,3,1433,2792,154,2946,51%
2023 November General and Special Elections,11/7/2023 0:00,STAUNTON CITY,501 - WARD NO 5,567,11,849,160,14,1601,3121,348,3469,51%
2023 November General and Special Elections,11/7/2023 0:00,STAUNTON CITY,STAUNTON CITY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,101 - BELLEHARBOUR,99,2,477,103,12,693,1305,138,1443,53%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,102 - DRIVER,522,11,1757,230,40,2560,4276,277,4553,60%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,104 - BENNETTS CREEK,94,6,575,77,16,768,1426,135,1561,54%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,105 - HARBOURVIEW,445,21,1254,307,72,2099,3690,315,4005,57%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,201 - EBENEZER,178,5,954,139,25,1301,1968,91,2059,66%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,202 - CHUCKATUCK,232,3,872,72,16,1195,2124,138,2262,56%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,203 - KINGS FORK,412,18,890,145,25,1490,3111,375,3486,48%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,204 - HILLPOINT,314,6,900,116,39,1375,3153,350,3503,44%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,301 - WHITE MARSH,150,2,216,41,9,418,1037,122,1159,40%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,302 - JOHN F KENNEDY,351,16,522,96,25,1010,2377,218,2595,42%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,304 - NANSEMOND RIVER,397,9,903,145,32,1486,2924,277,3201,51%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,305 - SHOULDERS HILL,100,4,463,53,17,637,1150,78,1228,55%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,306 - DEERFIELD,165,8,718,87,11,989,1936,218,2154,51%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,401 - AIRPORT,229,5,565,82,11,892,1833,156,1989,49%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,402 - WHALEYVILLE,219,12,895,82,12,1220,2192,174,2366,56%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,403 - SOUTHSIDE,145,8,316,58,15,542,1512,236,1748,36%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,404 - BOOKER T WASHINGTON,220,8,503,75,12,818,2220,286,2506,37%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,405 - HOLLYWOOD,101,5,254,61,4,425,1219,196,1415,35%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,501 - KILBYS MILL,486,11,960,99,25,1581,3125,281,3406,51%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,502 - HOLLAND,191,4,654,88,19,956,1863,142,2005,51%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,504 - LAKE COHOON,639,26,1372,212,24,2273,3870,226,4096,59%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,505 - PITTMANTOWN,204,4,537,63,24,832,1541,109,1650,54%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,601 - LAKESIDE,373,2,719,104,21,1219,2804,372,3176,43%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,602 - OLDE TOWNE,67,3,214,19,7,310,844,130,974,37%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,603 - ELEPHANTS FORK/WESTHAVEN,115,4,272,44,11,446,1086,153,1239,41%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,604 - WILROY,319,10,790,87,14,1220,2458,218,2676,50%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,605 - MACK BENN JR,68,5,165,26,6,270,742,98,840,36%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,703 - PUGHSVILLE,129,4,540,110,26,809,1973,260,2233,41%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,704 - BURBAGE GRANT,176,21,1111,134,29,1471,2752,284,3036,53%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,706 - HUNTERSVILLE,91,10,791,89,17,998,2812,566,3378,35%
2023 November General and Special Elections,11/7/2023 0:00,SUFFOLK CITY,SUFFOLK CITY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,SURRY COUNTY,101 - SURRY,270,4,384,77,,735,1149,48,1197,64%
2023 November General and Special Elections,11/7/2023 0:00,SURRY COUNTY,201 - BACONS CASTLE,169,4,418,75,1,667,1081,36,1117,62%
2023 November General and Special Elections,11/7/2023 0:00,SURRY COUNTY,301 - DENDRON,188,5,418,62,2,675,1077,56,1133,63%
2023 November General and Special Elections,11/7/2023 0:00,SURRY COUNTY,401 - CARSLEY,142,7,473,67,,689,1106,42,1148,62%
2023 November General and Special Elections,11/7/2023 0:00,SURRY COUNTY,501 - CLAREMONT,112,3,300,34,,449,659,14,673,68%
2023 November General and Special Elections,11/7/2023 0:00,SURRY COUNTY,502 - SPRING GROVE,90,,107,22,,219,361,18,379,61%
2023 November General and Special Elections,11/7/2023 0:00,SURRY COUNTY,SURRY COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,SUSSEX COUNTY,101 - WAVERLY,63,1,308,29,1,402,948,57,1005,42%
2023 November General and Special Elections,11/7/2023 0:00,SUSSEX COUNTY,201 - STONY CREEK,84,5,319,21,,429,956,56,1012,45%
2023 November General and Special Elections,11/7/2023 0:00,SUSSEX COUNTY,301 - COURTHOUSE,81,,106,8,,195,360,14,374,54%
2023 November General and Special Elections,11/7/2023 0:00,SUSSEX COUNTY,302 - NEWVILLE ONE,35,1,74,8,,118,247,22,269,48%
2023 November General and Special Elections,11/7/2023 0:00,SUSSEX COUNTY,401 - WAKEFIELD FIREHOUSE,42,4,434,48,,528,1061,103,1164,50%
2023 November General and Special Elections,11/7/2023 0:00,SUSSEX COUNTY,501 - HENRY,69,4,332,25,,430,1017,56,1073,42%
2023 November General and Special Elections,11/7/2023 0:00,SUSSEX COUNTY,601 - BLACKWATER,56,2,264,34,4,360,839,33,872,43%
2023 November General and Special Elections,11/7/2023 0:00,SUSSEX COUNTY,602 - WAKEFIELD,11,1,106,10,2,130,250,8,258,52%
2023 November General and Special Elections,11/7/2023 0:00,SUSSEX COUNTY,701 - YALE,114,1,180,7,,302,657,42,699,46%
2023 November General and Special Elections,11/7/2023 0:00,SUSSEX COUNTY,702 - NEWVILLE TWO,55,,77,13,,145,360,25,385,40%
2023 November General and Special Elections,11/7/2023 0:00,SUSSEX COUNTY,SUSSEX COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,TAZEWELL COUNTY,101 - INDIAN VALLEY,42,,256,21,1,320,841,89,930,38%
2023 November General and Special Elections,11/7/2023 0:00,TAZEWELL COUNTY,102 - TIP TOP,70,3,175,11,,259,671,39,710,39%
2023 November General and Special Elections,11/7/2023 0:00,TAZEWELL COUNTY,103 - MUNDY TOWN,175,4,315,21,2,517,1480,137,1617,35%
2023 November General and Special Elections,11/7/2023 0:00,TAZEWELL COUNTY,104 - FALLS MILLS,10,,216,8,,234,699,76,775,33%
2023 November General and Special Elections,11/7/2023 0:00,TAZEWELL COUNTY,106 - POCAHONTAS,17,1,94,6,,118,327,22,349,36%
2023 November General and Special Elections,11/7/2023 0:00,TAZEWELL COUNTY,107 - AMONATE,13,,30,1,,44,121,25,146,36%
2023 November General and Special Elections,11/7/2023 0:00,TAZEWELL COUNTY,109 - BISHOP,24,1,52,,,77,283,26,309,27%
2023 November General and Special Elections,11/7/2023 0:00,TAZEWELL COUNTY,112 - BANDY,12,3,99,5,,119,274,32,306,43%
2023 November General and Special Elections,11/7/2023 0:00,TAZEWELL COUNTY,203 - BURKES GARDEN,11,,81,6,,98,149,5,154,66%
